CALL_SIGN,AGENT_NAME,VESSEL_NAME,VESSEL_MAX_DRAFT,WEATHER_IMPACT_PCT,CONGESTION_IMPACT_PCT,EFFECTIVENESS_SCORE,RELIABILITY_SCORE,WORK_ENV_SCORE,BERTH
IV10854,CMA CGM (HONG KONG) LIMITED,CMA CGM BUZIOS,11.1,0.21,0.33,0.748,0.429,0.612,CMTY
NS10855,EVERGREEN MARINE (HONG KONG) LTD,UNI-PREMIER,8.8,0.24,0.26,1.0,0.772,0.44,SWLA
HV10856,T.S. LINES LIMITED,TS GUANGZHOU,8.8,0.0,0.0,0.83,0.515,0.531,SHELL
JR10857,KMTC (HK) CO LIMITED,KMTC TIANJIN,11.1,0.22,0.26,0.607,0.554,0.216,KC
ZP10858,CMA CGM ASIA SHIPPING PTE. LTD.,CNC PUMA,9.02,0.17,0.32,0.714,0.643,0.881,WA3
US10859,CMA CGM ASIA SHIPPING PTE. LTD.,CNC PUMA,9.02,0.17,0.32,0.714,0.643,0.881,KC9
RA10860,CGW LOGISTICS CO LIMITED,YUEHAI STAR,6.3,0.3,0.12,0.415,0.963,0.32,CSWFM
MZ10861,OOCL HONG KONG BRANCH,MANET,10.5,0.26,0.2,0.799,0.715,0.317,SELA
UU10862,CGW LOGISTICS CO LIMITED,YUEHAI STAR,6.3,0.3,0.12,0.415,0.963,0.32,KC6
PS10863,WELLS MARINE AGENCIES,MARATHASSA,14.4,0.13,0.32,0.58,0.606,0.29,KC8
PE10864,YANG MING LINE (HONG KONG) LTD,HORAI BRIDGE,8.2,0.21,0.31,0.456,0.55,0.91,KC8
QQ10865,P. M. S. HONG KONG LIMITED,HONG RUN 6,7.1,0.22,0.3,0.697,0.946,0.356,TMECO
VD10866,CMA CGM (HONG KONG) LIMITED,ANL WAIKATO ,10.7,0.23,0.27,0.748,0.429,0.612,KC12
RA10867,SINOTRANS (HK) SHIPPING LTD,AS COLUMBIA,7.5,0.22,0.28,0.763,0.851,0.366,KC9
YC10868,YANG MING LINE (HONG KONG) LTD,YM IMMENSE,8.4,0.24,0.26,0.456,0.55,0.91,KC6
AI10869,HYALINE SHIPPING (HK) CO LTD,WAN HAI 293,9.7,0.0,0.0,0.518,0.722,0.829,KC7
DR10870,YANG MING LINE (HONG KONG) LTD,YM HARMONY,8.5,0.3,0.18,0.456,0.55,0.91,KC3
KU10871,S5 ASIA LIMITED,HONG JING,6.0,0.0,0.0,0.672,0.573,0.516,SWLA
XW10872,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING LOTUS,13.8,0.23,0.27,0.497,0.636,0.593,KC2
TB10873,CGW LOGISTICS CO LIMITED,YUEHAI STAR,6.3,0.3,0.12,0.415,0.963,0.32,SELA
DF10874,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,XIN QING DAO,11.0,0.18,0.37,0.497,0.636,0.593,KC13
IR10875,BRIGHT CAPITAL SHIPPING CO LIMITED,LIAN YUN 9,6.2,0.23,0.27,0.853,0.588,0.635,KC6
NI10876,EVERGREEN MARINE (HONG KONG) LTD,UNI-PREMIER,8.8,0.24,0.26,1.0,0.772,0.44,KC19
EX10877,P. M. S. HONG KONG LIMITED,HONG RUN 6,7.1,0.22,0.3,0.697,0.946,0.356,CSWFM
IJ10878,KMTC (HK) CO LIMITED,KMTC SINGAPORE,9.4,0.23,0.25,0.607,0.554,0.216,KC7
US10879,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,GENCO RELIANCE,11.0,0.26,0.25,0.608,0.709,0.353,KC14
QS10880,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,SHELL
PE10881,GULF AGENCY CO (HK) LTD,SILVER JOAN,9.5,0.25,0.24,0.317,0.411,1.0,KC13
GO10882,KMTC (HK) CO LIMITED,KMTC NAGOYA,9.4,0.16,0.36,0.607,0.554,0.216,KC10
FZ10883,OOCL HONG KONG BRANCH,OOCL SAN FRANCISCO,10.3,0.21,0.27,0.799,0.715,0.317,KC7
HH10884,SINOTRANS (HK) SHIPPING LTD,HAI SU 6,7.1,0.15,0.47,0.763,0.851,0.366,KC7
FS10885,"UNITRANS AGENCY HONG KONG CO., LIMITED",OSG BOSSTEC,6.8,0.29,0.16,0.355,0.813,0.562,KC10
IJ10886,YANG MING LINE (HONG KONG) LTD,YM HARMONY,8.5,0.3,0.18,0.456,0.55,0.91,WA3
YU10887,T.S. LINES LIMITED,TS PUSAN,7.4,0.1,0.45,0.83,0.515,0.531,KC8
HD10888,T.S. LINES LIMITED,TS GUANGZHOU,8.8,0.0,0.0,0.83,0.515,0.531,KC10
RJ10889,S5 ASIA LIMITED,HONG JING,6.0,0.0,0.0,0.672,0.573,0.516,SLA
ZV10890,PENAVICO (HONG KONG) LIMITED,MAERSK QINZHOU,9.7,0.28,0.19,1.0,0.482,0.977,KC7
YU10891,EVERGREEN MARINE (HONG KONG) LTD,MTT PELEPAS,8.5,0.19,0.34,1.0,0.772,0.44,KC3
HH10892,SGS HONG KONG LIMITED,OCEAN DUKE,8.6,0.23,0.25,0.653,0.836,0.681,CSWFM
SJ10893,SGS HONG KONG LIMITED,OCEAN DUKE,8.6,0.23,0.25,0.653,0.836,0.681,CSWFM
LG10894,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,KC8
MF10895,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,FOREVER GLORY,11.9,0.2,0.32,0.742,0.833,0.443,KC4
OY10896,HARBOUR-LINK LINES LIMITED ,HARBOUR HORIZON,8.0,0.18,0.35,0.556,0.357,0.268,KC19
SD10897,KMTC (HK) CO LIMITED,KMTC NAGOYA,9.4,0.16,0.36,0.607,0.554,0.216,KC9
QP10898,HYALINE SHIPPING (HK) CO LTD,WAN HAI 326,9.7,0.16,0.31,0.518,0.722,0.829,SWLA
GR10899,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING BRAZIL,11.5,0.22,0.27,0.497,0.636,0.593,SWLA
NQ10900,HYALINE SHIPPING (HK) CO LTD,WAN HAI 353,10.6,0.29,0.15,0.518,0.722,0.829,SWLA
BK10901,GULF AGENCY CO (HK) LTD,SC LIAONING,8.7,0.22,0.27,0.317,0.411,1.0,KC16
SC10902,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,SLA
UA10903,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,GSL AFRICA,10.7,0.27,0.22,0.379,0.546,0.695,KC5
OY10904,SGS HONG KONG LIMITED,OCEAN DUKE,8.6,0.23,0.25,0.653,0.836,0.681,KC10
KY10905,T.S. LINES LIMITED,TS GUANGZHOU,8.8,0.0,0.0,0.83,0.515,0.531,KC19
WM10906,SHK AGENCY LIMITED,OCEANIC STAR,9.0,0.23,0.24,0.347,0.603,0.659,WA3
FZ10907,KMTC (HK) CO LIMITED,KMTC BANGKOK,10.25,0.18,0.31,0.607,0.554,0.216,KC14
IQ10908,GULF AGENCY CO (HK) LTD,SC LIAONING,8.7,0.22,0.27,0.317,0.411,1.0,KC9
XC10909,GULF AGENCY CO (HK) LTD,SILVER JOAN,9.5,0.25,0.24,0.317,0.411,1.0,KC7
ON10910,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,KC4
SY10911,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,GSL AFRICA,10.7,0.27,0.22,0.379,0.546,0.695,CMTY
XE10912,SGS HONG KONG LIMITED,HOLLY DEVELOPER,5.8,0.18,0.33,0.653,0.836,0.681,KC9
WE10913,WALLEM SHIPPING (HK) LTD,SEACON OSLO,13.9,0.14,0.34,0.993,0.722,0.758,KC5
XZ10914,CGW LOGISTICS CO LIMITED,HUI FENG HAI 17,7.1,0.32,0.16,0.415,0.963,0.32,KC7
KM10915,SINOTRANS (HK) SHIPPING LTD,MAERSK NINGBO,10.3,0.17,0.38,0.763,0.851,0.366,KC9
YZ10916,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING LOTUS,13.8,0.23,0.27,0.497,0.636,0.593,CSWFM
YW10917,OOCL HONG KONG BRANCH,MANET,10.5,0.26,0.2,0.799,0.715,0.317,KC9
AO10918,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,ZIM THAILAND,14.1,0.23,0.24,0.379,0.546,0.695,KC16
CZ10919,TEXCO MARINE AGENCY LIMITED,DE LONG,7.5,0.2,0.31,0.769,0.651,0.704,WA3
HZ10920,"UNITRANS AGENCY HONG KONG CO., LIMITED",DS EXPRESS 178,6.9,0.26,0.2,0.355,0.813,0.562,KC19
OM10921,KMTC (HK) CO LIMITED,KMTC XIAMEN,10.0,0.24,0.26,0.607,0.554,0.216,KC
YW10922,CMA CGM (HONG KONG) LIMITED,CMA CGM BUZIOS,11.1,0.21,0.33,0.748,0.429,0.612,SELA
MF10923,CMA CGM (HONG KONG) LIMITED,CMA CGM BUZIOS,11.1,0.21,0.33,0.748,0.429,0.612,KC16
CE10924,WALLEM SHIPPING (HK) LTD,MARINA ARUNG,7.2,0.22,0.3,0.993,0.722,0.758,KC16
LG10925,CONCORD MARINE LIMITED,HONG DA XIN 758,7.0,0.0,0.0,1.0,0.721,0.614,KC16
ET10926,OOCL HONG KONG BRANCH,OOCL SAN FRANCISCO,10.3,0.21,0.27,0.799,0.715,0.317,KC19
UO10927,OOCL HONG KONG BRANCH,OOCL SAN FRANCISCO,10.3,0.21,0.27,0.799,0.715,0.317,KC3
TE10928,EVERGREEN MARINE (HONG KONG) LTD,MTT PELEPAS,8.5,0.19,0.34,1.0,0.772,0.44,KC16
WX10929,SINOTRANS (HK) SHIPPING LTD,HAI SU 6,7.1,0.15,0.47,0.763,0.851,0.366,TMECO
VN10930,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,KC8
CR10931,EVERGREEN MARINE (HONG KONG) LTD,UNI-PREMIER,8.8,0.24,0.26,1.0,0.772,0.44,SWLA
ED10932,KMTC (HK) CO LIMITED,KMTC NAGOYA,9.4,0.16,0.36,0.607,0.554,0.216,SELA
IG10933,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,WA3
GG10934,PENAVICO (HONG KONG) LIMITED,ZHONG GU DONG HAI,6.6,0.36,0.18,1.0,0.482,0.977,SWLA
TY10935,SINOTRANS (HK) SHIPPING LTD,HAI SU 6,7.1,0.15,0.47,0.763,0.851,0.366,KC2
HS10936,EVERGREEN MARINE (HONG KONG) LTD,GREEN CLARITY,9.0,0.0,0.0,1.0,0.772,0.44,KC8
AQ10937,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ONE PARANA,14.6,0.22,0.26,0.64,0.584,0.637,KC14
SB10938,SINOTRANS (HK) SHIPPING LTD,NICOLAI MAERSK,9.7,0.19,0.33,0.763,0.851,0.366,KC8
DH10939,SINOTRANS (HK) SHIPPING LTD,DONGJIN VOYAGER,9.9,0.29,0.21,0.763,0.851,0.366,SWLA
KN10940,WELLS MARINE AGENCIES,MARATHASSA,14.4,0.13,0.32,0.58,0.606,0.29,CMTY
XS10941,KMTC (HK) CO LIMITED,KMTC COLOMBO,12.5,0.24,0.26,0.607,0.554,0.216,KC4
ID10942,EVERGREEN MARINE (HONG KONG) LTD,EVER WIN,8.2,0.15,0.39,1.0,0.772,0.44,KC7
XH10943,EVERGREEN MARINE (HONG KONG) LTD,UNI-PREMIER,8.8,0.24,0.26,1.0,0.772,0.44,CMTY
PF10944,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,KONG QUE LAN,5.6,0.26,0.24,0.742,0.833,0.443,KC16
DD10945,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,SLA
TP10946,WALLEM SHIPPING (HK) LTD,MARINA ARUNG,7.2,0.22,0.3,0.993,0.722,0.758,KC11
KO10947,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,KC
MN10948,GULF AGENCY CO (HK) LTD,SC LIAONING,8.7,0.22,0.27,0.317,0.411,1.0,TMECO
RF10949,OCEAN BASE CO LTD,SUNFLYTE,9.0,0.21,0.26,0.58,0.668,0.62,CSWFM
GT10950,T.S. LINES LIMITED,TS PUSAN,7.4,0.1,0.45,0.83,0.515,0.531,KC16
WC10951,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC19
LS10952,KMTC (HK) CO LIMITED,KMTC GWANGYANG,9.4,0.3,0.17,0.607,0.554,0.216,KC11
CO10953,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CSCL ASIA,9.8,0.15,0.37,0.497,0.636,0.593,KC3
BO10954,"UNITRANS AGENCY HONG KONG CO., LIMITED",WOORI SUN,5.9,0.15,0.4,0.355,0.813,0.562,SHELL
NO10955,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC4
DI10956,SINOTRANS (HK) SHIPPING LTD,AS COLUMBIA,7.5,0.22,0.28,0.763,0.851,0.366,SLA
ND10957,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ONE PARANA,14.6,0.22,0.26,0.64,0.584,0.637,KC12
FP10958,NS UNITED SHIPPING (HK) CO LIMITED,ASIAN ISLAND,6.29,0.21,0.29,0.606,0.716,0.652,KC14
CN10959,YANG MING LINE (HONG KONG) LTD,HORAI BRIDGE,8.2,0.21,0.31,0.456,0.55,0.91,SWLA
VL10960,OOCL HONG KONG BRANCH,OOCL BAUHINIA,11.5,0.0,0.0,0.799,0.715,0.317,KC2
NL10961,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ACX DIAMOND,10.0,0.24,0.25,0.64,0.584,0.637,SELA
BM10962,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,KC16
US10963,EVERGREEN MARINE (HONG KONG) LTD,MTT PELEPAS,8.5,0.19,0.34,1.0,0.772,0.44,KC3
KV10964,SGS HONG KONG LIMITED,HUI YUAN,7.3,0.24,0.25,0.653,0.836,0.681,KC16
TP10965,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,FENGYUNHE,7.6,0.2,0.32,0.497,0.636,0.593,KC14
BI10966,EVERGREEN MARINE (HONG KONG) LTD,EVER ORDER,11.6,0.17,0.31,1.0,0.772,0.44,KC13
BZ10967,YANG MING LINE (HONG KONG) LTD,YM IMMENSE,8.4,0.24,0.26,0.456,0.55,0.91,KC16
YB10968,EVERGREEN MARINE (HONG KONG) LTD,EVER ORIGIN,9.1,0.19,0.32,1.0,0.772,0.44,SLA
YA10969,"UNITRANS AGENCY HONG KONG CO., LIMITED",MEGALOHARI,6.72,0.22,0.29,0.355,0.813,0.562,KC8
KT10970,WALLEM SHIPPING (HK) LTD,SEACON OSLO,13.9,0.14,0.34,0.993,0.722,0.758,SELA
TZ10971,EVERGREEN MARINE (HONG KONG) LTD,EVER BASIS,10.1,0.22,0.25,1.0,0.772,0.44,KC12
QK10972,HYALINE SHIPPING (HK) CO LTD,WAN HAI 353,10.6,0.29,0.15,0.518,0.722,0.829,KC7
ZJ10973,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,GENCO RELIANCE,11.0,0.26,0.25,0.608,0.709,0.353,TMECO
WX10974,CMA CGM (HONG KONG) LIMITED,CMA CGM BUZIOS,11.1,0.21,0.33,0.748,0.429,0.612,KC16
JR10975,NS UNITED SHIPPING (HK) CO LIMITED,WIND ARROW,5.88,0.23,0.24,0.606,0.716,0.652,KC10
RO10976,CONCORD MARINE LIMITED,CHANG SHENG JI 7,7.0,0.27,0.21,1.0,0.721,0.614,KC
QJ10977,INCHCAPE SHIPPING SERVICES (HK) LTD,SHOKAI ,6.9,0.18,0.31,0.588,0.234,0.66,KC11
EN10978,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING BRAZIL,11.5,0.22,0.27,0.497,0.636,0.593,KC16
NS10979,CONCORD MARINE LIMITED,HONG DA XIN 758,7.0,0.0,0.0,1.0,0.721,0.614,CSWFM
FA10980,GULF AGENCY CO (HK) LTD,BERGE HENG SHAN,8.67,0.23,0.28,0.317,0.411,1.0,SHELL
AH10981,EVERGREEN MARINE (HONG KONG) LTD,EVER BASIS,10.1,0.22,0.25,1.0,0.772,0.44,KC
RO10982,OOCL HONG KONG BRANCH,MANET,10.5,0.26,0.2,0.799,0.715,0.317,WA3
NV10983,EVERGREEN MARINE (HONG KONG) LTD,EVER BASIS,10.1,0.22,0.25,1.0,0.772,0.44,SWLA
GJ10984,T.S. LINES LIMITED,TS OSAKA,7.6,0.13,0.41,0.83,0.515,0.531,KC4
HY10985,YANG MING LINE (HONG KONG) LTD,HORAI BRIDGE,8.2,0.21,0.31,0.456,0.55,0.91,KC7
SC10986,EVERGREEN MARINE (HONG KONG) LTD,SEASPAN YINGKOU,9.2,0.22,0.29,1.0,0.772,0.44,TMECO
VK10987,P. M. S. HONG KONG LIMITED,HONG RUN 6,7.1,0.22,0.3,0.697,0.946,0.356,KC7
TW10988,"UNITRANS AGENCY HONG KONG CO., LIMITED",MEGALOHARI,6.72,0.22,0.29,0.355,0.813,0.562,SLA
AF10989,HMM (HONG KONG) LIMITED,HYUNDAI FAITH,11.5,0.3,0.15,0.809,0.845,0.585,WA3
CA10990,CONCORD MARINE LIMITED,FU LONG SHENG,7.6,0.0,0.0,1.0,0.721,0.614,WA3
PS10991,EVERGREEN MARINE (HONG KONG) LTD,EVER FUTURE,12.7,0.17,0.31,1.0,0.772,0.44,KC14
BT10992,HARBOUR-LINK LINES LIMITED ,HARBOUR HORIZON,8.0,0.18,0.35,0.556,0.357,0.268,KC11
KG10993,CONCORD MARINE LIMITED,FU LONG SHENG,7.6,0.0,0.0,1.0,0.721,0.614,KC5
FW10994,TEXCO MARINE AGENCY LIMITED,DE LONG,7.5,0.2,0.31,0.769,0.651,0.704,KC10
BN10995,CONCORD MARINE LIMITED,HONG DA XIN 758,7.0,0.0,0.0,1.0,0.721,0.614,KC12
HV10996,TEXCO MARINE AGENCY LIMITED,DE LONG,7.5,0.2,0.31,0.769,0.651,0.704,KC19
TI10997,CGW LOGISTICS CO LIMITED,CHUNRONG 803,5.0,0.28,0.24,0.415,0.963,0.32,KC8
PR10998,SGS HONG KONG LIMITED,HUI YUAN,7.3,0.24,0.25,0.653,0.836,0.681,KC6
IH10999,TEXCO MARINE AGENCY LIMITED,DE LONG,7.5,0.2,0.31,0.769,0.651,0.704,WA3
DR11000,BRIGHT CAPITAL SHIPPING CO LIMITED,LIAN YUN 9,6.2,0.23,0.27,0.853,0.588,0.635,KC2
FH11001,CGW LOGISTICS CO LIMITED,LAN HAI FANG ZHOU,6.2,0.13,0.42,0.415,0.963,0.32,KC16
BY11002,CMA CGM ASIA SHIPPING PTE. LTD.,CNC PUMA,9.02,0.17,0.32,0.714,0.643,0.881,KC14
WX11003,T.S. LINES LIMITED,TS OSAKA,7.6,0.13,0.41,0.83,0.515,0.531,KC5
QL11004,HYALINE SHIPPING (HK) CO LTD,WAN HAI 326,9.7,0.16,0.31,0.518,0.722,0.829,KC7
MZ11005,SINOTRANS (HK) SHIPPING LTD,DONGJIN VOYAGER,9.9,0.29,0.21,0.763,0.851,0.366,KC
YR11006,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ACX DIAMOND,10.0,0.24,0.25,0.64,0.584,0.637,KC19
UI11007,P. M. S. HONG KONG LIMITED,HONG RUN 6,7.1,0.22,0.3,0.697,0.946,0.356,KC14
KD11008,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,GENCO RELIANCE,11.0,0.26,0.25,0.608,0.709,0.353,KC3
JT11009,SGS HONG KONG LIMITED,OCEAN DUKE,8.6,0.23,0.25,0.653,0.836,0.681,KC10
MW11010,EVERGREEN MARINE (HONG KONG) LTD,EVER ORDER,11.6,0.17,0.31,1.0,0.772,0.44,KC12
HS11011,CGW LOGISTICS CO LIMITED,YUEHAI STAR,6.3,0.3,0.12,0.415,0.963,0.32,KC3
UX11012,"UNITRANS AGENCY HONG KONG CO., LIMITED",OSG BOSSTEC,6.8,0.29,0.16,0.355,0.813,0.562,SWLA
OZ11013,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING LOTUS,13.8,0.23,0.27,0.497,0.636,0.593,KC7
OD11014,T.S. LINES LIMITED,TS OSAKA,7.6,0.13,0.41,0.83,0.515,0.531,SHELL
GF11015,EVERGREEN MARINE (HONG KONG) LTD,TEXAS TRIUMPH,12.8,0.23,0.25,1.0,0.772,0.44,KC11
QX11016,CGW LOGISTICS CO LIMITED,LAN HAI FANG ZHOU,6.2,0.13,0.42,0.415,0.963,0.32,KC8
WC11017,HYALINE SHIPPING (HK) CO LTD,WAN HAI 293,9.7,0.0,0.0,0.518,0.722,0.829,KC6
SE11018,EVERGREEN MARINE (HONG KONG) LTD,EVER ORIGIN,9.1,0.19,0.32,1.0,0.772,0.44,KC7
GR11019,EVERGREEN MARINE (HONG KONG) LTD,EVER FUTURE,12.7,0.17,0.31,1.0,0.772,0.44,CSWFM
PW11020,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,FENGYUNHE,7.6,0.2,0.32,0.497,0.636,0.593,KC4
ET11021,EVERGREEN MARINE (HONG KONG) LTD,EVER ORDER,11.6,0.17,0.31,1.0,0.772,0.44,KC12
SO11022,SGS HONG KONG LIMITED,HOLLY DEVELOPER,5.8,0.18,0.33,0.653,0.836,0.681,WA3
MW11023,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CSCL ASIA,9.8,0.15,0.37,0.497,0.636,0.593,KC10
IY11024,EVERGREEN MARINE (HONG KONG) LTD,EVER BASIS,10.1,0.22,0.25,1.0,0.772,0.44,KC9
AY11025,NS UNITED SHIPPING (HK) CO LIMITED,WIND ARROW,5.88,0.23,0.24,0.606,0.716,0.652,SHELL
ZD11026,EVERGREEN MARINE (HONG KONG) LTD,EVER WIN,8.2,0.15,0.39,1.0,0.772,0.44,KC11
ZM11027,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,KC11
GP11028,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,ZIM THAILAND,14.1,0.23,0.24,0.379,0.546,0.695,TMECO
FX11029,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,FU LIAN,6.4,0.26,0.22,0.497,0.636,0.593,CSWFM
OU11030,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,KC16
JN11031,CGW LOGISTICS CO LIMITED,LAN HAI FANG ZHOU,6.2,0.13,0.42,0.415,0.963,0.32,SELA
JG11032,SINOTRANS (HK) SHIPPING LTD,NICOLAI MAERSK,9.7,0.19,0.33,0.763,0.851,0.366,SELA
NM11033,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC2
CZ11034,HYALINE SHIPPING (HK) CO LTD,WAN HAI 353,10.6,0.29,0.15,0.518,0.722,0.829,KC8
MV11035,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CSCL ASIA,9.8,0.15,0.37,0.497,0.636,0.593,SWLA
XJ11036,CMA CGM (HONG KONG) LIMITED,CMA CGM DIGNITY,13.3,0.24,0.24,0.748,0.429,0.612,KC8
KO11037,CONCORD MARINE LIMITED,HONG DA XIN 758,7.0,0.0,0.0,1.0,0.721,0.614,KC6
FD11038,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CSCL ASIA,9.8,0.15,0.37,0.497,0.636,0.593,KC19
GY11039,GULF AGENCY CO (HK) LTD,SILVER JOAN,9.5,0.25,0.24,0.317,0.411,1.0,KC4
PK11040,HYALINE SHIPPING (HK) CO LTD,WAN HAI 325,11.1,0.22,0.29,0.518,0.722,0.829,KC
DI11041,INCHCAPE SHIPPING SERVICES (HK) LTD,DAPENG PRINCESS,7.5,0.23,0.27,0.588,0.234,0.66,TMECO
JV11042,EVERGREEN MARINE (HONG KONG) LTD,MTT PELEPAS,8.5,0.19,0.34,1.0,0.772,0.44,KC16
MR11043,SINOTRANS (HK) SHIPPING LTD,HAI SU 6,7.1,0.15,0.47,0.763,0.851,0.366,KC14
RG11044,REGIONAL CONTAINER LINES (HK) LTD,URU BHUM,10.0,0.25,0.26,0.865,0.488,0.416,KC13
VZ11045,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,FOREVER GLORY,11.9,0.2,0.32,0.742,0.833,0.443,KC13
QM11046,GULF AGENCY CO (HK) LTD,SILVER JOAN,9.5,0.25,0.24,0.317,0.411,1.0,KC4
EU11047,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CSCL ASIA,9.8,0.15,0.37,0.497,0.636,0.593,KC2
ES11048,WALLEM SHIPPING (HK) LTD,LAUTOKA CHIEF,10.0,0.19,0.35,0.993,0.722,0.758,KC9
MX11049,HYALINE SHIPPING (HK) CO LTD,WAN HAI 365,9.7,0.24,0.25,0.518,0.722,0.829,CMTY
OQ11050,HYALINE SHIPPING (HK) CO LTD,WAN HAI 178,8.5,0.0,0.0,0.518,0.722,0.829,CSWFM
BA11051,CMA CGM (HONG KONG) LIMITED,ANL WAIKATO ,10.7,0.23,0.27,0.748,0.429,0.612,KC10
WY11052,SGS HONG KONG LIMITED,OCEAN DUKE,8.6,0.23,0.25,0.653,0.836,0.681,CMTY
RT11053,GULF AGENCY CO (HK) LTD,SILVER JOAN,9.5,0.25,0.24,0.317,0.411,1.0,KC9
KV11054,KMTC (HK) CO LIMITED,KMTC COLOMBO,12.5,0.24,0.26,0.607,0.554,0.216,KC2
GS11055,EVERGREEN MARINE (HONG KONG) LTD,SEASPAN YINGKOU,9.2,0.22,0.29,1.0,0.772,0.44,KC12
AN11056,EVERGREEN MARINE (HONG KONG) LTD,MTT PELEPAS,8.5,0.19,0.34,1.0,0.772,0.44,SWLA
JQ11057,EVERGREEN MARINE (HONG KONG) LTD,EVER BIRTH,10.3,0.24,0.28,1.0,0.772,0.44,SHELL
RQ11058,BRIGHT CAPITAL SHIPPING CO LIMITED,LIAN YUN 9,6.2,0.23,0.27,0.853,0.588,0.635,KC14
MM11059,"UNITRANS AGENCY HONG KONG CO., LIMITED",DS EXPRESS 178,6.9,0.26,0.2,0.355,0.813,0.562,KC6
AO11060,WALLEM SHIPPING (HK) LTD,SEACON OSLO,13.9,0.14,0.34,0.993,0.722,0.758,KC6
AN11061,SGS HONG KONG LIMITED,GUANG MAO,7.1,0.23,0.25,0.653,0.836,0.681,KC16
HZ11062,SHK AGENCY LIMITED,OCEANIC STAR,9.0,0.23,0.24,0.347,0.603,0.659,WA3
AV11063,CGW LOGISTICS CO LIMITED,LAN HAI FANG ZHOU,6.2,0.13,0.42,0.415,0.963,0.32,SLA
RU11064,YANG MING LINE (HONG KONG) LTD,YM HARMONY,8.5,0.3,0.18,0.456,0.55,0.91,KC10
XC11065,HMM (HONG KONG) LIMITED,HYUNDAI FAITH,11.5,0.3,0.15,0.809,0.845,0.585,SELA
CD11066,CONCORD MARINE LIMITED,FU LONG SHENG,7.6,0.0,0.0,1.0,0.721,0.614,KC10
EN11067,"UNITRANS AGENCY HONG KONG CO., LIMITED",WOORI SUN,5.9,0.15,0.4,0.355,0.813,0.562,KC14
VG11068,T.S. LINES LIMITED,TS OSAKA,7.6,0.13,0.41,0.83,0.515,0.531,SWLA
KJ11069,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,FOREVER GLORY,11.9,0.2,0.32,0.742,0.833,0.443,KC11
